origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_Naive,pred_SeasonalNaive,pred_Stack
2034,3,10,8402.004,8188.682724794996,8195.937100970848,8121.6830966309535,7951.42529296875,8542.6201171875,7441.617149114152,7992.306,7357.272344444445,8253.503226524797
2035,2,10,8402.004,8225.135334752085,8200.17152641667,8190.757221611114,8002.68408203125,8519.908203125,7436.225150125852,7992.306,7402.9692277777785,8286.902211732933
2035,3,10,8515.452,8130.042013289884,8233.05030455556,8223.894487090281,8002.6572265625,8518.8056640625,7460.710906136375,7992.306,7402.9692277777785,8306.703483073661
2036,1,10,8402.004,8255.914257328372,8240.17968768353,8143.173300965276,8008.603515625,8390.00390625,7599.993660272976,7992.306,7448.4284333333335,8207.73486582689
2036,2,10,8515.452,8178.53344377494,8203.378478031747,8109.612365881944,8008.57666015625,8388.9013671875,7614.146292325547,7992.306,7448.4284333333335,8186.824178230461
2036,3,10,8503.09,8102.085841841311,8193.580588382938,8103.408555625001,8008.5498046875,8387.798828125,7623.372659452287,7992.306,7448.4284333333335,8182.61202422531
2037,1,10,8515.452,8152.459540801286,8444.237485476218,8343.604861868056,7881.6025390625,8299.3515625,8225.962620166118,8402.004,7501.211177777777,8295.098915961295
2037,2,10,8503.09,8139.71067124079,8462.682926235944,8287.248133631949,7881.57568359375,8298.248046875,8207.0011264015,8402.004,7501.211177777777,8260.27351224407
2037,3,10,8398.073,8088.56899502076,8461.379002459853,8304.32784813195,7881.548828125,8297.1455078125,8236.81021870683,8402.004,7501.211177777777,8270.273404378433
2038,1,10,8503.09,8137.142660605862,8429.810404427373,8500.505641526786,8091.17919921875,8446.8837890625,8208.484350532546,8515.452,7559.077288888889,8447.793851929404
2038,2,10,8398.073,8202.158867315158,8398.448961040467,8453.281389165677,8091.15234375,8445.78125,8208.555681240625,8515.452,7559.077288888889,8418.54320302567
2038,3,10,8209.136,8228.725801365565,8391.635451665967,8445.18296699901,8091.125,8444.6787109375,8212.690179091716,8515.452,7559.077288888889,8413.174595598686
2039,1,10,8398.073,8203.6144634682,8523.089315319437,8466.936426818458,8194.533203125,8524.087890625,8173.304924797744,8503.09,7617.046305555556,8457.092120206798
2039,2,10,8209.136,8131.015250381725,8478.353101342254,8398.6779390754,8194.5068359375,8522.9853515625,8173.701655627488,8503.09,7617.046305555556,8415.002370398955
2040,1,10,8209.136,8351.82083980721,8680.407344399797,8361.497228943457,8229.4921875,8474.162109375,8168.939169443579,8398.073,7660.009505555556,8373.4695428856
2041,3,10,7441.091,8365.610277910842,8454.216741251475,8157.793402310183,8114.06201171875,8312.0771484375,8172.206377032181,8209.136,7681.301122222222,8186.591404352306
2042,2,10,7441.091,8349.952678448844,8460.879593590105,8205.593279789353,8045.57177734375,8146.62548828125,8174.071668778934,8209.136,7702.602472222222,8151.92976403132
2042,3,10,7123.419,8326.519948645831,8414.284459577868,8167.424475990742,8045.544921875,8145.52294921875,8176.886726811361,8209.136,7702.602472222222,8128.206476389581
2043,1,10,7441.091,8022.091197234074,8261.830469421428,8274.273577134263,7953.49169921875,7949.09521484375,8176.63201515231,8209.136,7716.025538888889,8117.6360530327
2043,2,10,7123.419,7932.935128813189,8217.130336660515,8221.890057594908,7953.46484375,7947.99267578125,8177.9307710253015,8209.136,7716.025538888889,8085.236235609648
2043,3,10,7391.534,7924.718540243408,8167.232142319242,8161.025104907409,7953.43798828125,7946.89013671875,8181.345669319452,8209.136,7716.025538888889,8047.659430574586
2044,1,10,7123.419,7792.126526552292,7733.1157102667,7739.825467551585,7389.75390625,7201.69482421875,8117.571797285126,7441.091,7705.088522222222,7503.03527507422
2044,2,10,7391.534,7795.085695584849,7746.797715924339,7751.593628252978,7389.72705078125,7200.59228515625,8149.103958286375,7441.091,7705.088522222222,7509.793044357928
2045,1,10,7391.534,7402.378903424366,7629.003266373741,7564.178717298608,7233.4501953125,7147.41357421875,7986.378834883731,7123.419,7688.197433333334,7374.878139408822
2045,3,10,8137.3545,7537.013746283541,7689.82675132791,7662.228700482146,7233.396484375,7145.2080078125,7994.5340810921625,7123.419,7688.197433333334,7433.875933077298
2046,2,10,8137.3545,7828.670078481341,7928.830320580645,7738.657279673614,7447.21630859375,7511.4228515625,8018.28497662017,7391.534,7687.7322,7621.828380174236
2047,1,10,8137.3545,8199.205955315349,8377.419836293451,8063.861992097223,7733.8525390625,7782.9375,8048.2816983763705,7391.534,7704.569041666667,7925.09212089959
2048,3,10,7350.941,8323.893343002806,8320.465419332375,8163.947048986113,7910.3828125,7868.96435546875,8109.5052569887175,8137.3545,7733.674491666667,8019.375899916331
2049,2,10,7350.941,8422.084217978094,8458.910711277116,8154.459825643524,8003.685546875,7896.1416015625,8073.792035648519,8137.3545,7767.545330555556,8024.071116888149
2050,1,11,7350.941,7692.350996151951,7882.082543947589,7943.785857673613,7488.310546875,7512.537109375,7832.977472197194,8137.3545,7783.917563888888,7726.238830338344
2050,3,11,7295.5215,7867.489200204763,7864.328421972068,7943.50658308333,7489.5517578125,7514.0546875,7811.256269750928,8137.3545,7783.917563888888,7719.750083859684
2051,2,11,7295.5215,7811.933181083639,7686.780609279265,7726.083446583329,7242.45849609375,7289.71875,7803.839124529746,7350.941,7778.4734638888895,7517.964386797784
2051,3,11,7523.158,7817.361682313988,7701.560950617562,7757.628803027774,7243.0791015625,7290.4775390625,7801.547459297469,7350.941,7778.4734638888895,7534.674629192825
2052,1,11,7295.5215,7664.50465686202,7517.027545538887,7568.671841569444,7029.388671875,7083.03125,7825.090303318023,7350.941,7765.132472222222,7344.457832307794
2052,2,11,7523.158,7779.939306902229,7584.885924654963,7638.632409912698,7030.00927734375,7083.7900390625,7812.070390376909,7350.941,7765.132472222222,7394.694014815325
2052,3,11,7481.65,7819.954270614144,7609.594804696133,7701.425815362105,7030.6298828125,7084.548828125,7809.2967983514145,7350.941,7765.132472222222,7425.956389825395
2053,1,11,7523.158,7554.540283819391,7589.015707349605,7641.132816229166,7183.2705078125,7250.40576171875,7855.701565312558,7295.5215,7764.366122222223,7440.982208656353
